run_id,status,RL1_value,C1_value,raw_file,log_file,plot_file,manual_behavior_label,manual_notes
187,ok,6500.0,1.0236952401469272e-07,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0187.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0187.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0187.png,,
188,ok,6500.0,1.2000000000000007e-07,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0188.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0188.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0188.png,,
189,ok,6750.0,4.999999999999999e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0189.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0189.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0189.png,,
190,ok,6750.0,5.8611193690212385e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0190.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0190.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0190.png,,
191,ok,6750.0,6.870544051583186e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0191.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0191.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0191.png,,
192,ok,6750.0,8.053815763289574e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0192.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0192.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0192.png,,
193,ok,6750.0,9.44087511294902e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0193.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0193.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0193.png,,
194,ok,6750.0,1.1066819197003217e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0194.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0194.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0194.png,,
195,ok,6750.0,1.2972789669802326e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0195.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0195.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0195.png,,
196,ok,6750.0,1.5207013760783413e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0196.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\raw_runs\map_0196.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis__2_\automation\results_behavior_windows\tonic_bursting\coupling_rl1_c1\plots\map_0196.png,,
