run_id,status,RL1_value,C1_value,raw_file,log_file,plot_file,manual_behavior_label,manual_notes,error
263,ok,6750.0,3.098386676965935e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0263.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0263.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0263.png,,,
264,ok,6750.0,3.6697909067498772e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0264.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0264.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0264.png,,,
265,ok,6750.0,4.346573460111787e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0265.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0265.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0265.png,,,
266,ok,6750.0,5.148168199283139e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0266.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0266.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0266.png,,,
267,ok,6750.0,6.09759297785538e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0267.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0267.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0267.png,,,
268,ok,6750.0,7.222110600187557e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0268.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0268.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0268.png,,,
269,ok,6750.0,8.55401167489644e-09,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0269.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0269.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0269.png,,,
270,ok,6750.0,1.0131541842126369e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0270.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0270.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0270.png,,,
271,ok,6750.0,1.2000000000000008e-08,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0271.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0271.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0271.png,,,
272,ok,7000.0,8.000000000000003e-10,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0272.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0272.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0272.png,,,
273,ok,7000.0,9.47535937727046e-10,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0273.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\raw_runs\map_0273.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\all_or_nothing\coupling_rl1_c1\plots\map_0273.png,,,
